passage_id,source_id,review_round,paragraph_no,topic,content_zh,content_en,related_articles,related_pi,fulfillment_status,last_assessed_date
CO-2022-med-70,src-2022-co-tc,2,70,§16 神經多樣性 / 心智障礙者司法處遇,國際審查委員會關切，目前針對神經多樣性、心理社會障礙和心智障礙者於司法系統中之處遇仍存在不足。涉及自閉症兒童、ADHD 兒童於少年司法系統中應有專家評估與專門支持、教育與處遇。,,"A1,A14,A16",PI-16,pending,2026-05-01
CO-2022-bully-95g,src-2022-co-tc,2,95(g),§24 + §16 學校對身障兒少之強制措施,（CO §95(g)）學校經常對身心障礙兒童採取，例如訓斥、要求父母或主要照顧者在課堂上、或與父母一起在家上學或停課等措施。學校也經常實施強制離開原班級上課和人身脅迫，或聯繫警察或消防部門，將此類學生戒護到醫院。,,"A7,A16,A24",PI-14,pending,2026-05-01
CO-2022-special-school-96b,src-2022-co-tc,2,96(b),§24 將融合教育責任轉至普通教育,（CO §96(b)）將促進融合性教育的責任從特殊教育轉移到普通教育。,,"A24,GC4",PI-13,pending,2026-05-01
CO-2017-overall,src-2017-co-ch,1,100+,第一次審查總體,（2017 第一次審查）國際審查委員會就 CRPD 在台施行之全面情形提出 100+ 段結論性意見，涵蓋 §4 一般義務、§9 無障礙、§12 法律能力、§19 自立生活、§24 教育、§27 就業、§31 統計等各條文，建議政府積極推動 CRPD 全面落實。,,"A4,A33",PI-01,partial,2026-05-01
CO-2022-overall,src-2022-co-tc,2,108,第二次審查總體,（2022 第二次審查）國際審查委員會發布 108 段結論性意見，肯定政府部分進展（如《身心障礙者權益保障法》2021 草案），但對 CRPD 條款實施完整度、各部會協調機制、DPO 實質參與表達持續關切。,,"A4,A33,A35",PI-01,partial,2026-05-01
CO-2022-unfulfilled,src-2022-co-tc,2,10+,未兌現 CO 條目,（2022 第二次審查）多項 2017 第一次審查 CO 仍未兌現，特別是 §12 法律能力、§19 自立生活機構化問題、§24 融合教育、§27 就業歧視等。,,"A12,A19,A24,A27",PI-02,pending,2026-05-01
CO-intl-comp,src-2022-co-tc,2,—,國際比較參考,（CRPD 委員會審查多國經驗）德國、日本、韓國、加拿大、澳洲、紐西蘭等國 CRPD 施行法與審查 CO 對照可作為台灣參考。,,"A4,A24",PI-04,unknown,2026-05-01
CO-2022-nap,src-2022-co-tc,2,33-35,身障行動方案,（CO §33-35）國際審查委員會建議行政院發展涵蓋所有 CRPD 條款的身心障礙策略，由 NHRC 監督執行。,,"A4,A33",PI-05,pending,2026-05-01
CO-2022-nhrc,src-2022-co-tc,2,33-35,NHRC 對 CRPD 之獨立監督,（CO §33-35）國際審查委員會建議國家人權委員會依 CRPD §33-2 進行獨立監督，發布定期報告。,,"A33,GC7",PI-06,pending,2026-05-01
CO-2022-budget,src-2022-co-tc,2,26,預算配置,"（CO §26）國家計劃在 2027 年以前為 1,000 名身心障礙者建造 13 家新機構。委員會關切此資金應投資於社區式支持服務（自立生活）而非機構式照顧。",,"A4,A19,A28",PI-07,pending,2026-05-01
CO-2022-stats,src-2022-co-tc,2,—,統計與資料蒐集,（CO 多處）國際審查委員會建議國家依 §31 蒐集 ICF 分類之身心障礙者統計，包含交叉指標（性別、年齡、地區）。,,A31,PI-08,partial,2026-05-01
CO-2022-caregiver,src-2022-co-tc,2,93-94,家庭支持,（CO §93-94）國際審查委員會關切：身心障礙兒童家外安置率高、父母拋棄照顧率高。建議提供父母支持，讓兒童儘可能在家庭環境中被養育。,,"A19,A23",PI-11,pending,2026-05-01
CO-2-001,src-2022-co-tc,2,1,其他（中華民國（臺灣）立法院於 2014 年 8 月，通過身心障礙）,中華民國（臺灣）立法院於 2014 年 8 月，通過身心障礙者權利公約施行法 （下稱 CRPD 施行法） 。該法於 2014 年 12 月正式生效，成為 CRPD 融入國 內體系之規範架構。臺灣實施 CRPD 的初次審查結論性意見於 2017 年 11 月通過。,,,,pending,2026-05-01
CO-2-002,src-2022-co-tc,2,2,其他（行政院於 2020 年 12 月依 CRPD 施行法提交第二）,行政院於 2020 年 12 月依 CRPD 施行法提交第二次國家報告，並於 2021 年 8 月提供英文版。第二次審查最初規劃於 2021 年進行，但由於受到 COVID-19 疫情的影響，延遲至 2022 年進行。,,,,pending,2026-05-01
CO-2-003,src-2022-co-tc,2,3,其他（為就第二次國家報告進行審查，臺灣政府邀請 5 位專家組成國際）,為就第二次國家報告進行審查，臺灣政府邀請 5 位專家組成國際審查委員 會（International Review Committee，IRC）。專家成員包括 Kim Hyung Shik （韓國）、Oliver Lewis（英國）、Janet Meagher（澳洲）、Nagase Osamu（日 本：主席）及 Diane Richler（加拿大）；5 人係以個人身分擔任委員，不代 表各自居留國家。,,,,pending,2026-05-01
CO-2-004,src-2022-co-tc,2,4,其他（國際審查委員會就臺灣第二次國家報告進行審查，並於 2022 ）,國際審查委員會就臺灣第二次國家報告進行審查，並於 2022 年 3 月 1 日提 出問題清單英文版。政府於 2022 年 4 月 21 日提供問題清單中譯版。,,,,pending,2026-05-01
CO-2-005,src-2022-co-tc,2,5,其他（國際審查委員會於 2021 年 8 月收到由公民社會組織（包）,"國際審查委員會於 2021 年 8 月收到由公民社會組織（包括身心障礙團體） 提出的平行報告，以及由國家人權委員會（National Human Rights Commission, NHRC）所提供的資料。政府於 2022 年 6 月 30 日就問題清單 提出詳細回應。",,,,pending,2026-05-01
CO-2-006,src-2022-co-tc,2,6,其他（國際審查委員會亦接獲公民社會（包括身心障礙者代表團體和國家人）,國際審查委員會亦接獲公民社會（包括身心障礙者代表團體和國家人權委 員會）針對政府問題清單回應提出的各項意見。,,,,pending,2026-05-01
CO-2-007,src-2022-co-tc,2,7,其他（審查會議包含政府與公民社會的對話，於 2022 年 8 月 ）,審查會議包含政府與公民社會的對話，於 2022 年 8 月 1 日至 3 日在臺北南 港展覽館舉行。國際審查委員會成員以混合的方式參與：包括實體出席， 以及線上參與。,,,,pending,2026-05-01
CO-2-008,src-2022-co-tc,2,8,其他（國際審查委員會於 2022 年 8 月 6 日通過並發表此結）,國際審查委員會於 2022 年 8 月 6 日通過並發表此結論性意見。,,,,pending,2026-05-01
CO-2-009,src-2022-co-tc,2,9,其他（國際審查委員會對於各界在會議前期及 2022 年 8 月 1）,國際審查委員會對於各界在會議前期及 2022 年 8 月 1 日至 3 日於臺北舉行 會議期間的積極參與感到高興。,,,,pending,2026-05-01
CO-2-010,src-2022-co-tc,2,10,其他（國際審查委員會肯定臺灣政府和人民為實現 CRPD 持續所做的）,國際審查委員會肯定臺灣政府和人民為實現 CRPD 持續所做的努力。於審 查期間內，與政府建設性對話中有許多政府官員的參與，可看出政府全力 落實 CRPD 的決心。,,,,pending,2026-05-01
CO-2-011,src-2022-co-tc,2,11,其他（為確保持續落實，並符合 CRPD 第 4 條第 3 項及 3）,為確保持續落實，並符合 CRPD 第 4 條第 3 項及 33 條第 3 項規定，公民 社會，尤其是身心障礙者（包含身心障礙兒童和青年）及其代表組織的積 極參與至關重要。,,,,pending,2026-05-01
CO-2-012,src-2022-co-tc,2,12,其他（對於公民社會（包括身心障礙團體）積極參與此第二次審查的過程，）,對於公民社會（包括身心障礙團體）積極參與此第二次審查的過程，國際 審查委員會深表感謝。,,,,pending,2026-05-01
CO-2-013,src-2022-co-tc,2,13,其他（對於衛生福利部（尤其是 CRPD 小組）提供的各項後勤支援，）,對於衛生福利部（尤其是 CRPD 小組）提供的各項後勤支援，國際審查委 員會在此表達感謝。 II. 正面意見,,,,pending,2026-05-01
CO-2-014,src-2022-co-tc,2,14,其他（國際審查委員會肯定國家在以下方面的努力： a. 根據監察院國）,國際審查委員會肯定國家在以下方面的努力： a. 根據監察院國家人權委員會組織法於 2020 年成立國家人權委員會； b. 發布國家人權行動計畫並設立行政院人權及轉型正義處，以協調此行動 計畫之實施； c. 根據 2017 年國際審查委員會的結論性意見，制定了一份詳細的結論性意 見回應表，即包含指標的 CRPD 行動計畫。 d. 發展制定兒少替代性照顧政策，並於 2022 年 1 月發布，以減少非必要家 外安置為目標，使兒童及少年可在原生家庭成長。 III. 一般性議題 人權模式,,,,pending,2026-05-01
CO-2-015,src-2022-co-tc,2,15,其他（CRPD 是一個關注身心障礙者的國際條約。其代表著對身心障礙）,CRPD 是一個關注身心障礙者的國際條約。其代表著對身心障礙理解（典 範1）的轉移。即不再物化身心障礙者，將身心障礙者視為被照顧、管 理、施捨和恐懼的對象。並促使我們將身心障礙者看作是一個具有權利和 基本自由的主體，「尊重差異，接受身心障礙者是人類多樣性之一部分與 人類之一份子」（CRPD 第 3 條）。,,,,pending,2026-05-01
CO-2-016,src-2022-co-tc,2,16,其他（此（典範）轉移須符合 CRPD 的文字與精神，需要政府對身心）,此（典範）轉移須符合 CRPD 的文字與精神，需要政府對身心障礙者享有 CRPD 的核心精神在於典範的轉移，即由過去的個人模式（慈善、醫療模式）轉變為以障礙 者作為權利主體的人權模式，在人權模式下，身心障礙者成為能主導自己生活的主體和權利的 擁有者。 權利的模式進行徹底的改變。而這樣的改變需要一個高層次的願景以確保 法律、政策、法規、預算分配和實踐皆能支持以下的改變：由封閉的集中 式照顧到在社區裡的自立生活；由隔離到融合；由福利給予到促進勞動市 場參與；由替代性決策到提供行使法律能力之支持；由安排不同班級和學 校的特殊教育到讓不同的孩子們得以一起分享童年的融合教育；由以診斷 為主導的介入到提供符合個人需求和想望的個別化支持。,,,,pending,2026-05-01
CO-2-017,src-2022-co-tc,2,17,其他（這些跨越法律、政策和生活的轉變，需要態度以及法律、政策和財源）,這些跨越法律、政策和生活的轉變，需要態度以及法律、政策和財源上的 改變。支持的計畫及其輸送方式都要有身心障礙者的參與，以及可以主導 他們想要獲得的支持。從投資集中式照顧，轉向投資於社區式支持服務， 以及使人們可以購買他們想要和需要服務的個人預算。,,,,pending,2026-05-01
CO-2-018,src-2022-co-tc,2,18,其他（總體而言，雖然在法律和政策領域已有一些積極進展，國際審查委員）,總體而言，雖然在法律和政策領域已有一些積極進展，國際審查委員會對 政府依然採取慈善／生物醫學模式作為看待身心障礙者的主要架構感到失 望。,,,,pending,2026-05-01
CO-2-019,src-2022-co-tc,2,19,其他（當國際審查委員會於結論性意見中針對 CRPD 的個別條文提出）,當國際審查委員會於結論性意見中針對 CRPD 的個別條文提出意見和建 議，其首要關切的是將影響多個條款的跨領域議題彙整起來，以協助政府 進一步落實 CRPD。,,,,pending,2026-05-01
CO-2-020,src-2022-co-tc,2,20,平等及不歧視（行政院一直未能向立法院提出足以適當保護身心障礙者免受歧視的平）,行政院一直未能向立法院提出足以適當保護身心障礙者免受歧視的平等立 法，包括在就業及所有商品和服務的提供方面，明確規定拒絕提供合理調 整將構成非法歧視。,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-021,src-2022-co-tc,2,21,平等及不歧視（國際審查委員會從公民社會聽到了許多關於立法缺口對現實生活造成）,國際審查委員會從公民社會聽到了許多關於立法缺口對現實生活造成影響 的例子。潛在的雇主能任意地歧視身心障礙者，藉由不僱用他們的方式。 導致許多身心障礙者被拒絕進入開放性勞動市場。許多人在庇護工場的灰 色經濟2中從事重複性工作。因此，社會中的各行各業，包括科技業都拒 絕與身心障礙同事一起工作並從他們對社會和經濟的貢獻中受益。這反過 來又使污名化持續存在，並使刻板印象和偏見不斷發酵。如果身心障礙者 找到了工作，雇主並沒有法律義務為滿足受僱者的需求進行修改和調整。,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-022,src-2022-co-tc,2,22,平等及不歧視（法律、政策和法規中持續存在歧視性條款，使身心障礙者無法與其他）,法律、政策和法規中持續存在歧視性條款，使身心障礙者無法與其他人在 平等的基礎上享有 CRPD 所述的權利。由於沒有對歧視作出明確的法律定 義，包括未能提供合理調整，再加上意識提升和可及性／無障礙努力的不 足，許多身心障礙者繼續忍受著歧視和不平等對待。 灰色經濟（Gray Economy）指市場中沒有被納入國內官方生產毛額（GDP）統計的商品和服務 生產，無論是該生產為合法或非法。 參與,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-023,src-2022-co-tc,2,23,平等及不歧視（參與是 CRPD 的核心。其存在於幾個條款中，最明顯的是 C）,參與是 CRPD 的核心。其存在於幾個條款中，最明顯的是 CRPD 第 4 條第 3 項和第 33 條第 3 項。儘管政府代表說著參與的語言，但非政府組織和 身心障礙者的經驗是，在中央和地方層級所建立促進他們參與法律和政策 制定的機制是不充分和不可及的。問題不在於政府的意圖，而在於結果。,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-024,src-2022-co-tc,2,24,平等及不歧視（同樣地，雖然地方層級機制為被指稱涉及歧視時尋求補救，但身心障）,同樣地，雖然地方層級機制為被指稱涉及歧視時尋求補救，但身心障礙者 的經驗是這種機制既不實用也不有效。,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-025,src-2022-co-tc,2,25,在社區中生活（在臺灣的各種現行措施中，除缺乏使身心障礙者免於遭受包含拒絕合）,在臺灣的各種現行措施中，除缺乏使身心障礙者免於遭受包含拒絕合理調 整之歧視的保護之外，身心障礙者於社區中亦面臨多重困境；例如：交通 和藝文／運動場所的不可及；網站和行動應用程式的難以使用；助聽器或 移動設備等輔具的無法負擔；學校的非融合性本質；缺乏促進就業的方 案；缺乏能夠滿足個別化需求的社區式支持服務；缺乏管道利用向公眾提 供的商品和服務，以及缺乏任何讓身心障礙者參與政治生活的修正方法， 例如郵寄、代理或不在籍投票。,,A19,PI-11,pending,2026-05-01
CO-2-026,src-2022-co-tc,2,26,在社區中生活（國家沒有優先投資於能夠避免（身心障礙者）孤立與隔離的社區式支）,"國家沒有優先投資於能夠避免（身心障礙者）孤立與隔離的社區式支持服 務政策。相反地，政府正計劃在 2027 年以前為 1,000 名身心障礙者建造 13 家新機構。這與 CRPD 所要求的背道而馳，亦即此項資金應該投資於 社區式支持服務。國家應發展策略以消除集中式場所，並將住民移至社區 中的住所，在那裡他們的需求可以透過自己想要的、選擇的社區式支持服 務來滿足。",,A19,PI-11,pending,2026-05-01
CO-2-027,src-2022-co-tc,2,27,健康（國家於心理健康照顧方面採取高度保護主義取向是過時的，且缺乏促）,國家於心理健康照顧方面採取高度保護主義取向是過時的，且缺乏促進心 理健康和復元取向。相反地，著重於留置和強制治療。衛生福利部告訴國 際審查委員會，精神醫療機構中 99%的病人於書面表示「自願」入院。國 際審查委員會認為這種說法的原因是病人被迫「同意」留在醫院裡，因為 通常沒有其他選擇。精神醫療機構的住院病人被拒絕使用手機，而被切斷 與社區的聯繫和取得司法資源的管道，並有延遲社區復健和延遲出院回到 社區的風險。,,A25,PI-16,pending,2026-05-01
CO-2-028,src-2022-co-tc,2,28,健康（國際審查委員會觀察到政府對心理健康的取向和大多數非政府組織的）,國際審查委員會觀察到政府對心理健康的取向和大多數非政府組織的觀點 存有明顯的不一致。國際審查會員會建議政府參考聯合國健康權特別報告 員 Daninius Puras 2017 年 3 月關於每個人都有權獲得心理健康的報告 （A/HRC/35/21）。Puras 博士於報告中指出「心理健康服務一直受簡化論 生物醫學典範所支配，這導致了對心智、認知和心理社會障礙者、自閉症 者，以及偏離主流文化、社會和政治規範者的排除、忽視、壓迫和虐 待。」（第 8 段）國際審查委員會發現這種簡化論的生物醫學模式依然存 在於國家的思維之中。 身心障礙策略和政府部門間的協調,,A25,PI-16,pending,2026-05-01
CO-2-029,src-2022-co-tc,2,29,健康（身心障礙策略和行動計畫在協調和指導 CRPD 於國家層級的實）,身心障礙策略和行動計畫在協調和指導 CRPD 於國家層級的實施扮演重要 的角色，其強調的領域將成為政府行動最重要的部分。在設定政府於行動 計畫欲達成的里程碑時，身心障礙策略亦能作為落實 CRPD 的基線，讓政 府、國家人權委員會和公民社會能據此衡量 CRPD 落實情形。,,A25,PI-16,pending,2026-05-01
CO-2-030,src-2022-co-tc,2,30,健康（國際審查委員會樂見身心障礙者權益保障法（2021 年草案）裡）,國際審查委員會樂見身心障礙者權益保障法（2021 年草案）裡的許多條 款，但其並不是全面落實 CRPD 的立法。另外，雖然國際審查委員會樂見 國家人權行動計畫的通過，該計畫僅觸及少部分 CRPD 所闡述的身心障礙 者權利。,,A25,PI-16,pending,2026-05-01
CO-2-031,src-2022-co-tc,2,31,健康（CRPD 條款的實施依然不夠完整，障礙領域的政策制定亦是臨時）,CRPD 條款的實施依然不夠完整，障礙領域的政策制定亦是臨時性的。沒 有實施身心障礙者權利的整體願景或計畫，政府部門間的協調也不夠充 分，無法使政府的行動與 CRPD 所闡述的義務保持一致。,,A25,PI-16,pending,2026-05-01
CO-2-032,src-2022-co-tc,2,32,健康（國際審查委員會關切各部會之間缺乏對障礙者日常生活權利提供落差）,國際審查委員會關切各部會之間缺乏對障礙者日常生活權利提供落差的共 識。身心障礙者權益推動小組作為政府內部處理實施 CRPD 相關事宜的 主責單位，尚未有效發揮作用。根據 CRPD 第 33 條第 1 項，其還不是政 府內部促進不同部門和不同層級相關行動的有效協調機制。,,A25,PI-16,pending,2026-05-01
CO-2-033,src-2022-co-tc,2,33,健康（在上述情況下，國際審查委員會強烈建議行政院發展一個涵蓋所有 ）,在上述情況下，國際審查委員會強烈建議行政院發展一個涵蓋所有 CRPD 條款的身心障礙策略，並提出行動計畫來指導跨政府部門的行動和投資， 並應充分告知身心障礙社群，得到他們充分的信任—如國際審查委員會所 展現，身心障礙社群是 CRPD 的專家。這些任務只能透過透明的參與過 程，讓包括身心障礙兒童在內的身心障礙者及其代表團體充分參與方能達 成，以符合 CRPD 第 4 條第 3 項。,,A25,PI-16,pending,2026-05-01
CO-2-034,src-2022-co-tc,2,34,健康（身心障礙策略應闡明整體優先事項，並將跨部會、政府機關及地方政）,身心障礙策略應闡明整體優先事項，並將跨部會、政府機關及地方政府的 各個環節整合起來。,,A25,PI-16,pending,2026-05-01
CO-2-035,src-2022-co-tc,2,35,健康（身心障礙策略應該讓國家人權委員會依據 CRPD 第 33 條）,身心障礙策略應該讓國家人權委員會依據 CRPD 第 33 條第 2 項進行監 督。同時，依據 CRPD 第 33 條第 3 項，該監督過程應讓包括身心障礙兒 童在內的身心障礙者及其代表團體參與和積極涉入。就這方面，國際審查 委員會建議行政院將聯合國身心障礙者權利委員會針對「CRPD 第 4 條第 3 項和第 33 條第 3 項：身心障礙者，包括身心障礙兒童經由其代表組織 參與公約的實施及監測」的第 7 號一般性意見（2018 年）納入考量。 IV. 主要關切及建議 A. 一般原則及義務（第 1 至 4 條）,,A25,PI-16,pending,2026-05-01
CO-2-036,src-2022-co-tc,2,36,健康（國際審查委員會對以下情形表示關切： a. 2021 年身心障）,國際審查委員會對以下情形表示關切： a. 2021 年身心障礙者權益保障法草案第 5 條對於身心障礙者的定義不符合 CRPD。 b. 政府沒有經常性地諮詢身心障礙者及其代表團體。目前的諮詢不頻繁， 且只有少數被挑選的人能參與其中。更由於結果並未反映出參與者所提 供的建議，有些人認為諮詢已經成為一種象徵，因為其意見沒有被聽 到。 c. 沒有實施 CRPD 的國家身心障礙策略。該策略應在公民社會的支持下為 各級政府樹立高層次的願景和承諾。以一致性、全國性的方法發展政策 和方案，消除對身心障礙者的歧視，並促進對身心障礙者權利的肯認。 以及 d. 公部門工作人員的培訓和社區教育缺乏關於身心障礙者的權利，以及如 何回應身心障礙者。這阻礙了社會融合的發展，並導致對身心障礙者的 歧視。,,A25,PI-16,pending,2026-05-01
CO-2-037,src-2022-co-tc,2,37,健康（國際審查委員會建議國家： a. 修正 2021 年身心障礙者）,國際審查委員會建議國家： a. 修正 2021 年身心障礙者權益保障法草案，確保其更準確地反映 CRPD 第 1 條中對身心障礙者的定義。 b. 確保不同類型的身心障礙者，包括身心障礙兒童及其代表團體獲得資 源，以積極地、定期地參與公開程序，以尋求改善相關法律、政策、方 案和做法。 c. 納入來自身心障礙社群的各種聲音，以迅速制定並通過國家身心障礙策 略。該策略的主要目的應是鼓勵、肯認和促進對消除身心障礙歧視的積 極承諾，並促進對身心障礙者權利和尊嚴的肯認。以及 d. 提供資源予身心障礙者及其代表團體，使其得以發展與提供公私部門工 作人員培訓及社區教育，課程內容包含如何與身心障礙者互動及身心障 礙者權利。我們建議國家大幅增加能消除任何個人、團體或私人企業對 身心障礙者歧視的措施。 B. 個別權利（第 5 至 33 條）,,A25,PI-16,pending,2026-05-01
CO-2-038,src-2022-co-tc,2,38,平等及不歧視（國際審查委員會關切國家需要通過綜合性的反歧視法，以涵蓋所有脈）,國際審查委員會關切國家需要通過綜合性的反歧視法，以涵蓋所有脈絡下 發生之歧視。這是國際審查委員會在 2017 年的結論性意見以及 2022 年 5 月兩公約的結論性意見所提出。然而，國家依然沒有制定出綜合性的平等 與不歧視法案。涉及不歧視的條款分散在幾部法規中，且實質上不足以滿 足 CRPD 的要求。政府並未致力於統一或協調不同部門要如何處理歧視。 此外，現有的法規並未對國家和私部門施以強制義務，也沒有要求採取積 極措施，並缺乏補救程序。,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-039,src-2022-co-tc,2,39,平等及不歧視（國際審查委員會關切行政機關人員和司法機構對基於身心障礙的歧視）,國際審查委員會關切行政機關人員和司法機構對基於身心障礙的歧視（包 括拒絕提供合理調整）沒有充分的瞭解，以致於無法有效地防止歧視或提 供補救措施。,,A5,"PI-09,PI-12",pending,2026-05-01
CO-2-040,src-2022-co-tc,2,40,平等及不歧視（雖然 LGBTIQ3的身心障礙者在學校及工作場所享有性別平等）,雖然 LGBTIQ3的身心障礙者在學校及工作場所享有性別平等教育法及性 別平等工作法的一些保障，但這些保障不適用於其他領域。,,A5,"PI-09,PI-12",pending,2026-05-01
